194.58.222.0/24,SE,Stockholm,Stockholm,100 26
89.125.112.0/24,DE,Hesse,Frankfurt,60311
143.246.40.0/24,US,New York,New York,10001
194.87.60.0/24,PL,Masovian Voivodeship,Warsaw,00-510
195.216.164.0/24,NL,North Holland,Amsterdam,1013
93.89.217.0/24,FR,Île-de-France,Paris,75007
201.10.86.0/24,LV,Riga,Riga,LV-1001
